Acceptable-or-better (a): count DockQ ≥ 0.23
Medium-or-better (b): count DockQ ≥ 0.49
High (c): count DockQ ≥ 0.80

hit rate = a/b/c 

7SWN hit rate =  10/10/0

7SWN,fold_7swn_4_model_4,0.40588865,0.541
7SWN,fold_7swn_4_model_2,0.40564662,0.689
7SWN,fold_7swn_4_model_3,0.4056443,0.599
7SWN,fold_7swn_3_model_0,0.40554643,0.715
7SWN,fold_7swn_5_model_3,0.40553892,0.649
7SWN,fold_7swn_2_model_1,0.405534,0.708
7SWN,fold_7swn_5_model_4,0.40549722,0.673
7SWN,fold_7swn_3_model_4,0.40548038,0.72
7SWN,fold_7swn_5_model_2,0.40547892,0.639
7SWN,fold_7swn_5_model_0,0.40547022,0.69
