MODEL dockq_wave qs_best
fold_7om4_2_model_1 0.6336165413533834 0.718
fold_7om4_4_model_1 0.5949624060150376 0.796
fold_7om4_5_model_0 0.6832857142857143 0.818
fold_7om4_4_model_2 0.587187969924812 0.793
fold_7om4_4_model_3 0.5879398496240602 0.796
fold_7om4_2_model_4 0.45494736842105266 0.353
fold_7om4_3_model_4 0.4907819548872181 0.505
fold_7om4_1_model_3 0.4525789473684211 0.405
fold_7om4_5_model_4 0.44458646616541353 0.358
fold_7om4_1_model_0 0.6171428571428572 0.706
fold_7om4_5_model_3 0.44084210526315787 0.449
fold_7om4_5_model_1 0.4460827067669173 0.397
fold_7om4_1_model_1 0.47890977443609023 0.551
fold_7om4_3_model_1 0.4801578947368421 0.435
fold_7om4_1_model_2 0.4479548872180451 0.455
fold_7om4_1_model_4 0.4493308270676692 0.493
fold_7om4_4_model_4 0.6081203007518797 0.801
fold_7om4_2_model_2 0.4629473684210526 0.379
fold_7om4_3_model_2 0.48290977443609023 0.491
fold_7om4_3_model_3 0.4839022556390978 0.482
fold_7om4_2_model_3 0.4499548872180451 0.308
fold_7om4_3_model_0 0.49014285714285716 0.5
fold_7om4_5_model_2 0.4460827067669173 0.46
fold_7om4_4_model_0 0.602593984962406 0.799
fold_7om4_2_model_0 0.6283533834586467 0.784
fold_7r40_1_model_4 0.666 0.63
fold_7r40_5_model_0 0.639 0.503
fold_7r40_4_model_0 0.678 0.346
fold_7r40_2_model_2 0.675 0.454
fold_7r40_1_model_1 0.664 0.56
fold_7r40_1_model_3 0.672 0.515
fold_7r40_3_model_0 0.43433333333333335 0.39
fold_7r40_3_model_3 0.43002777777777773 0.44
fold_7r40_2_model_4 0.679 0.587
fold_7r40_4_model_4 0.673 0.707
fold_7r40_4_model_1 0.4316111111111111 0.485
fold_7r40_2_model_1 0.678 0.632
fold_7r40_3_model_4 0.4311388888888889 0.42
fold_7r40_1_model_0 0.68 0.514
fold_7r40_3_model_2 0.673 0.437
fold_7r40_4_model_2 0.667 0.607
fold_7r40_4_model_3 0.671 0.623
fold_7r40_2_model_0 0.676 0.474
fold_7r40_2_model_3 0.43497222222222226 0.378
fold_7r40_3_model_1 0.67 0.634
fold_7r40_5_model_1 0.4255833333333333 0.429
fold_7r40_5_model_4 0.674 0.559
fold_7r40_1_model_2 0.671 0.535
fold_7r40_5_model_3 0.671 0.425
fold_7r40_5_model_2 0.672 0.46
fold_7sbg_3_model_3 0.4346282051282051 0.571
fold_7sbg_5_model_0 0.6555512820512821 0.927
fold_7sbg_3_model_2 0.414051282051282 0.584
fold_7sbg_1_model_1 0.4559038461538461 0.509
fold_7sbg_1_model_2 0.6502307692307693 0.915
fold_7sbg_3_model_1 0.43149358974358976 0.563
fold_7sbg_2_model_1 0.44692307692307687 0.517
fold_7sbg_5_model_4 0.6461794871794871 0.925
fold_7sbg_1_model_0 0.41644230769230767 0.573
fold_7sbg_3_model_4 0.4211282051282051 0.523
fold_7sbg_4_model_3 0.6839294871794872 0.945
fold_7sbg_1_model_4 0.4331346153846154 0.517
fold_7sbg_2_model_4 0.4784615384615384 0.912
fold_7sbg_1_model_3 0.4188653846153846 0.523
fold_7sbg_3_model_0 0.4318461538461539 0.574
fold_7sbg_5_model_3 0.6350128205128205 0.921
fold_7sbg_2_model_2 0.4309102564102564 0.51
fold_7sbg_4_model_4 0.6615320512820513 0.935
fold_7sbg_2_model_0 0.4320576923076923 0.569
fold_7sbg_5_model_1 0.6835128205128205 0.937
fold_7sbg_5_model_2 0.6420320512820513 0.926
fold_7sbg_4_model_1 0.6405128205128204 0.925
fold_7sbg_2_model_3 0.42782692307692305 0.512
fold_7sbg_4_model_2 0.6454102564102564 0.925
fold_7sbg_4_model_0 0.6594166666666665 0.926
fold_7o9w_2_model_0 0.7362119565217391 0.914
fold_7o9w_1_model_0 0.6406032608695652 0.899
fold_7o9w_3_model_4 0.7355434782608695 0.913
fold_7o9w_3_model_0 0.642804347826087 0.913
fold_7o9w_4_model_4 0.7425271739130435 0.903
fold_7o9w_5_model_1 0.6972065217391303 0.915
fold_7o9w_3_model_3 0.6643152173913044 0.906
fold_7o9w_1_model_1 0.6619728260869566 0.912
fold_7o9w_3_model_1 0.7338804347826087 0.908
fold_7o9w_1_model_4 0.6183641304347827 0.913
fold_7o9w_5_model_3 0.5914673913043478 0.913
fold_7o9w_2_model_4 0.7473369565217391 0.9
fold_7o9w_1_model_3 0.7428423913043478 0.906
fold_7o9w_5_model_4 0.7404999999999999 0.905
fold_7o9w_4_model_3 0.6553260869565218 0.91
fold_7o9w_4_model_0 0.7309184782608695 0.905
fold_7o9w_3_model_2 0.7234565217391304 0.903
fold_7o9w_4_model_1 0.7211141304347826 0.908
fold_7o9w_4_model_2 0.6286413043478261 0.906
fold_7o9w_5_model_2 0.7222608695652174 0.9
fold_7o9w_2_model_3 0.7506739130434783 0.898
fold_7o9w_2_model_2 0.6425489130434783 0.913
fold_7o9w_2_model_1 0.7385815217391305 0.905
fold_7o9w_1_model_2 0.781429347826087 0.912
fold_7o9w_5_model_0 0.7303152173913043 0.905
fold_7sjo_4_model_0 0.6164829931972788 0.801
fold_7sjo_2_model_0 0.5984761904761905 0.772
fold_7sjo_1_model_3 0.5744761904761906 0.78
fold_7sjo_4_model_3 0.5505933333333334 0.701
fold_7sjo_2_model_2 0.6190272108843538 0.802
fold_7sjo_5_model_3 0.5661632653061224 0.782
fold_7sjo_3_model_0 0.570795918367347 0.781
fold_7sjo_4_model_2 0.5855 0.804
fold_7sjo_1_model_0 0.5732585034013605 0.776
fold_7sjo_3_model_2 0.5685646258503402 0.786
