Acceptable-or-better (a): count DockQ ≥ 0.23
Medium-or-better (b): count DockQ ≥ 0.49
High (c): count DockQ ≥ 0.80

hit rate = a/b/c 

7SJO hit rate =  10/10/0

7SJO,fold_7sjo_4_model_2,0.423035,0.586
7SJO,fold_7sjo_1_model_1,0.42302224,0.567
7SJO,fold_7sjo_2_model_4,0.42293751,0.559
7SJO,fold_7sjo_3_model_4,0.42271131,0.577
7SJO,fold_7sjo_3_model_3,0.4226366,0.579
7SJO,fold_7sjo_1_model_0,0.42262563,0.573
7SJO,fold_7sjo_5_model_1,0.42262557,0.57
7SJO,fold_7sjo_4_model_4,0.42259297,0.562
7SJO,fold_7sjo_5_model_0,0.42258561,0.57
7SJO,fold_7sjo_3_model_2,0.42258209,0.569
