MODEL,dockq,capri
1A9X_af2m,0.953,3.0
1A9X,0.004,0.0
1AVW_af2m,0.929,3.0
1AVW,0.023,0.0
2IID_af2m,0.98,3.0
3TG0_af2m,0.983,3.0
3TG0,0.982,3.0
5I2D_af2m,0.0,0.0
1a2k_2,0.0063872952505279,incorrect
1a2k_3,0.0063340980924557,incorrect
1a2k_4,0.0097091867096519,incorrect
1a2k_5,0.0080678500790273,incorrect
1a2k_6,0.0477163890788491,incorrect
1a2k_7,0.0078581478328391,incorrect
1a2k_8,0.0062915294194977,incorrect
1a2k_9,0.0084738316589721,incorrect
1a2k_10,0.0079605974010534,incorrect
1a2k_11,0.0080809129189768,incorrect
1a2k_12,0.0061677923658644,incorrect
1a2k_13,0.0080309958030468,incorrect
1a2k_14,0.0088998618472478,incorrect
1a2k_15,0.0084661156843669,incorrect
1a2k_16,0.0098285907821058,incorrect
1a2k_18,0.0083651927989606,incorrect
1a2k_19,0.0079583016232044,incorrect
1a2k_20,0.0094780349496241,incorrect
1a2k_21,0.0741718199320743,incorrect
1a2k_22,0.033068670531071,incorrect
1a2k_23,0.0127332933721499,incorrect
1a2k_24,0.0103534726741522,incorrect
1a2k_26,0.0062502054225709,incorrect
1a2k_27,0.0078963743316492,incorrect
1a2k_28,0.0096488839496481,incorrect
1a2k_29,0.0466386743140189,incorrect
1a2k_30,0.0062884816545232,incorrect
1a2k_31,0.0077831796458842,incorrect
1a2k_32,0.0099934191654888,incorrect
1a2k_33,0.0097694553285175,incorrect
1a2k_34,0.0065610595471498,incorrect
1a2k_35,0.0055523644595356,incorrect
1a2k_36,0.0200946469277113,incorrect
1a2k_37,0.0321225409451785,incorrect
1a2k_39,0.0075175452691668,incorrect
1a2k_40,0.0081768467985171,incorrect
1a2k_41,0.0085807838822091,incorrect
1a2k_42,0.0221477355758989,incorrect
1a2k_43,0.0080063560339922,incorrect
1a2k_44,0.0112434835051537,incorrect
1a2k_45,0.0094429316271008,incorrect
1a2k_46,0.0061795498910379,incorrect
1a2k_48,0.0080565057305337,incorrect
1a2k_50,0.0079552150913282,incorrect
1a2k_51,0.0066954161784222,incorrect
1a2k_52,0.0094963218884375,incorrect
