Acceptable-or-better (a): count DockQ ≥ 0.23
Medium-or-better (b): count DockQ ≥ 0.49
High (c): count DockQ ≥ 0.80

hit rate = a/b/c 

7TEE hit rate =  10/2/0

7TEE,fold_7tee_1_model_3,0.08683405,0.408
7TEE,fold_7tee_5_model_0,0.08322117,0.422
7TEE,fold_7tee_1_model_4,0.08288456,0.537
7TEE,fold_7tee_5_model_1,0.07626335,0.412
7TEE,fold_7tee_4_model_1,0.07399864,0.415
7TEE,fold_7tee_1_model_1,0.07031543,0.424
7TEE,fold_7tee_1_model_2,0.06812398,0.415
7TEE,fold_7tee_4_model_2,0.06752485,0.411
7TEE,fold_7tee_2_model_3,0.06668984,0.405
7TEE,fold_7tee_3_model_1,0.0636947,0.533
