2025-12-14 19:43:37 INFO PDB warnings enabled (Bio.PDB.PDBConstructionWarning will be logged).
2025-12-14 19:43:37 INFO Loading feature configuration from /Volumes/PData/Data/Dev/Github/Repos/phd3/qtopo/QTopoQA/qtdaqa/new_dynamic_features/graph_builder2/feature_configs/feature-config.yaml.topoqa.10A
2025-12-14 19:43:38 INFO Prepared log directory: /Volumes/PData/Data/Dev/Github/Repos/phd3/qtopo/QTopoQA/qtdaqa/new_dynamic_features/graph_builder2/logs_output/8_topoqa_basic_topo_node_edge_diag_ARM/graph_builder.2025-12-14_19-43-37
2025-12-14 19:43:38 INFO Dataset directory: /Volumes/PData/Data/Dev/Github/Repos/phd3/qtopo/QTopoQA/datasets/training/adjusted/pilot_batch_Dockground_MAF2
2025-12-14 19:43:38 INFO Work directory: /Volumes/PData/Data/Dev/Github/Repos/phd3/qtopo/QTopoQA/qtdaqa/new_dynamic_features/graph_builder2/output/8_topoqa_basic_topo_node_edge_diag_ARM/work
2025-12-14 19:43:38 INFO Graph directory: /Volumes/PData/Data/Dev/Github/Repos/phd3/qtopo/QTopoQA/qtdaqa/new_dynamic_features/graph_builder2/output/8_topoqa_basic_topo_node_edge_diag_ARM/graph_data
2025-12-14 19:43:38 INFO Jobs: 1 (from CLI)
2025-12-14 19:43:38 INFO Interface module: interface/polar_cutoff/v1 [alias: residue ID + 3D coordinates (x,y,z) default cutoff 10A | TopoQA] (jobs=1)
2025-12-14 19:43:38 INFO Topology module : topology/persistence_basic/v1 [alias: Betti 0 and Betti 1 topology summaries on interface coords = 140D PH | TopoQA] (jobs=1)
2025-12-14 19:43:38 INFO Node module     : node/dssp_topo_merge/v1 [alias: 140D PH (topology summaries on interface coords) + 32D DSSP = Node 172D | TopoQA] (jobs=1)
2025-12-14 19:43:38 INFO Edge module     : edge/legacy_band/v11 [alias: 10D atomic distances between two residues + 1D distance between C (alpha) = Edge 11D | TopoQA] (jobs=1)
2025-12-14 19:43:38 INFO Artifact CSV sorting: disabled via --no-sort-artifacts (interface ordering always deterministic)
2025-12-14 19:43:38 INFO Topology rounding: disabled (set options.topology_round_decimals to enable)
2025-12-14 19:43:38 INFO Identified 448 PDB files for processing.
2025-12-14 19:43:38 INFO Beginning interface stage (jobs=1)
2025-12-14 19:43:46 INFO [Interface - pilot_batch_Dockground_MAF2] 4.9% complete (22/448)
2025-12-14 19:43:51 INFO [Interface - pilot_batch_Dockground_MAF2] 9.8% complete (44/448)
2025-12-14 19:43:55 INFO [Interface - pilot_batch_Dockground_MAF2] 14.7% complete (66/448)
2025-12-14 19:43:59 INFO [Interface - pilot_batch_Dockground_MAF2] 19.6% complete (88/448)
2025-12-14 19:44:03 INFO [Interface - pilot_batch_Dockground_MAF2] 24.6% complete (110/448)
2025-12-14 19:44:08 INFO [Interface - pilot_batch_Dockground_MAF2] 29.5% complete (132/448)
2025-12-14 19:44:14 INFO [Interface - pilot_batch_Dockground_MAF2] 34.4% complete (154/448)
2025-12-14 19:44:19 INFO [Interface - pilot_batch_Dockground_MAF2] 39.3% complete (176/448)
2025-12-14 19:44:25 INFO [Interface - pilot_batch_Dockground_MAF2] 44.2% complete (198/448)
2025-12-14 19:44:31 INFO [Interface - pilot_batch_Dockground_MAF2] 49.1% complete (220/448)
2025-12-14 19:44:34 INFO [Interface - pilot_batch_Dockground_MAF2] 54.0% complete (242/448)
2025-12-14 19:44:38 INFO [Interface - pilot_batch_Dockground_MAF2] 58.9% complete (264/448)
