Acceptable-or-better (a): count DockQ ≥ 0.23
Medium-or-better (b): count DockQ ≥ 0.49
High (c): count DockQ ≥ 0.80

hit rate = a/b/c 

5CBA hit rate =  10/10/3

5CBA,ranked_1,0.52388847,0.786
5CBA,model_5_multimer_20220423_121312,0.52388847,0.786
5CBA,model_1_multimer_20220423_862209,0.52308059,0.798
5CBA,model_5_multimer_20220423_663901,0.52267897,0.78
5CBA,model_5_multimer_20220423_296697,0.51121348,0.809
5CBA,ranked_2,0.50839084,0.798
5CBA,model_2_multimer_20220423_121312,0.50839084,0.798
5CBA,model_5_multimer_20220423_294929,0.49043378,0.817
5CBA,model_1_multimer_20220423_294929,0.45800486,0.791
5CBA,model_1_multimer_20220423_663901,0.45080519,0.806
