epoch,step,train_mse,tuning_dockq_mae,tuning_hit_rate_023,tuning_rank_regret,tuning_rank_spearman,val_loss,val_pearson_corr,val_rank_regret,val_rank_spearman,val_spearman_corr
0,22,,0.36306241154670715,0.6657004952430725,0.12098460644483566,0.01751336082816124,0.14054752886295319,0.0679430142045021,0.13978037238121033,0.3888888955116272,0.14892815053462982
0,22,0.1556917130947113,,,,,,,,,
1,45,,0.36308926343917847,0.6657004952430725,0.12492139637470245,0.034334030002355576,0.14059330523014069,-0.08254940062761307,0.16516926884651184,0.3333333432674408,0.05774696171283722
1,45,0.15248635411262512,,,,,,,,,
2,68,,0.3628906011581421,0.6719806790351868,0.14729665219783783,-0.07973603904247284,0.14047522842884064,0.38744068145751953,0.06933550536632538,0.4444444477558136,0.4677269160747528
2,68,0.13733872771263123,,,,,,,,,
3,91,,0.3630463480949402,0.6758453845977783,0.15376342833042145,0.0028759913984686136,0.14061294496059418,-0.15931078791618347,0.16777445375919342,-0.6111111044883728,-0.21861350536346436
3,91,0.13956813514232635,,,,,,,,,
4,114,,0.36302146315574646,0.6724637746810913,0.12772776186466217,-0.03554826229810715,0.1406990885734558,0.3986588418483734,0.13755100965499878,0.0555555559694767,0.5009263753890991
4,114,0.1527981460094452,,,,,,,,,
5,137,,0.362667977809906,0.6729468703269958,0.13074320554733276,-0.028281863778829575,0.1403190791606903,0.3800666630268097,0.13755100965499878,0.0555555559694767,0.49547699093818665
5,137,0.14228390157222748,,,,,,,,,
6,160,,0.3600616753101349,0.6724637746810913,0.12774190306663513,-0.004379041492938995,0.13879381120204926,0.3661573529243469,0.07029059529304504,0.3333333432674408,0.5320131778717041
6,160,0.14158879220485687,,,,,,,,,
7,183,,0.3627854287624359,0.6739130616188049,0.13584677875041962,-0.05856950953602791,0.14255012571811676,0.29931357502937317,0.16503579914569855,-0.0555555559694767,0.41358494758605957
7,183,0.15815456211566925,,,,,,,,,
8,206,,0.3348504304885864,0.6719806790351868,0.12272084504365921,0.03692474961280823,0.12358943372964859,0.4732617139816284,0.1409110575914383,2.4671622953265837e-17,0.5739820003509521
8,206,0.1458825170993805,,,,,,,,,
9,229,,0.34978342056274414,0.6705313920974731,0.1103452742099762,0.12516054511070251,0.1350090205669403,0.28045395016670227,0.07649517804384232,0.2777777910232544,0.4736122786998749
9,229,0.14383012056350708,,,,,,,,,
10,252,,0.3224993348121643,0.6734299659729004,0.14347456395626068,0.047045350074768066,0.13667897880077362,0.20825499296188354,0.17148935794830322,-0.3888888955116272,-0.4049832820892334
10,252,0.13373969495296478,,,,,,,,,
