Acceptable-or-better (a): count DockQ ≥ 0.23
Medium-or-better (b): count DockQ ≥ 0.49
High (c): count DockQ ≥ 0.80

hit rate = a/b/c 

7VNG hit rate =  10/2/0

7VNG,fold_7vng_4_model_4,0.4059642,0.363
7VNG,fold_7vng_4_model_2,0.40571091,0.425
7VNG,fold_7vng_4_model_1,0.40564707,0.437
7VNG,fold_7vng_1_model_4,0.40559295,0.767
7VNG,fold_7vng_5_model_3,0.40557149,0.343
7VNG,fold_7vng_1_model_3,0.40553865,0.761
7VNG,fold_7vng_4_model_0,0.40549666,0.434
7VNG,fold_7vng_5_model_1,0.40544719,0.35
7VNG,fold_7vng_4_model_3,0.40539724,0.475
7VNG,fold_7vng_5_model_2,0.4053764,0.428
