Target,Model,DockQ,CAPRI
7EKQ,ori_template_pipeline_2,0.163,0.0
7P3Z,custom_template_file_0,0.041,0.0
7EKQ,custom_template_file_3,0.160,0.0
7MJP,uniprot_distance_uniref_a3m_0,0.017,0.0
7ALA,structure_temp_dimer_a_1,0.026,0.0
7OEL,uniclust_oxmatch_a3m_3,0.755,2.0
7MRW,string_interact_uniref_a3m_4,0.561,2.0
7NKZ,species_interact_uniref_a3m_4,0.806,3.0
7OOP,string_interact_uniprot_sto_4,0.118,0.0
7NKZ,uniclust_oxmatch_a3m_0,0.915,3.0
7ALA,no_templates_1,0.171,0.0
7EEL,structure_temp_dimer_2,0.017,0.0
7EEP,species_interact_uniprot_sto_1,0.007,0.0
7MRW,sequence_based_template_2,0.009,0.0
7KBR,custom_template_with_alphafold_models_0,0.918,3.0
7AMV,sequence_based_template_with_alphafold_0,0.824,3.0
7O28,string_interact_uniref_sto_2,0.717,2.0
7D3Y,custom_template_with_alphafold_models_1,0.316,1.0
7AMV,default_0,0.876,3.0
7AOH,sequence_based_template_0,0.905,3.0
7P3Z,default_4,0.034,0.0
7MRW,no_templates_4,0.013,0.0
7JZY,structure_temp_dimer_a_0,0.052,0.0
7L2M,structure_temp_dimer_3,0.018,0.0
7O27,string_interact_uniref_a3m_1,0.746,2.0
7EKQ,ori_template_pipeline_4,0.033,0.0
7KBR,ori_temp_pipeline_with_alphafold_models_0,0.918,3.0
7ALB,structure_temp_dimer_3,0.007,0.0
7AOH,uniprot_distance_uniprot_sto_3,0.903,3.0
7AP8,sequence_based_template_with_alphafold_3,0.012,0.0
7MJP,species_interact_uniref_a3m_0,0.020,0.0
7NKZ,uniprot_distance_uniref_sto_2,0.918,3.0
7O28,string_interact_uniref_a3m_4,0.764,2.0
7LIV,species_interact_uniref_a3m_0,0.008,0.0
7MJP,structure_temp_dimer_a_0,0.018,0.0
7EKQ,sequence_based_template_with_alphafold_0,0.145,0.0
7JZY,uniclust_oxmatch_a3m_3,0.015,0.0
7AOF,structure_temp_dimer_2,0.036,0.0
7OI7,no_templates_3,0.030,0.0
7KBR,structure_temp_dimer_a_3,0.866,3.0
7MRW,ori_template_pipeline_4,0.510,2.0
7O28,sequence_based_template_2,0.726,2.0
7ALB,uniclust_oxmatch_a3m_3,0.007,0.0
7O28,string_interact_uniprot_sto_0,0.725,2.0
7AMV,ori_template_pipeline_1,0.869,3.0
7AP8,species_interact_uniprot_sto_4,0.021,0.0
7O27,uniprot_distance_uniref_sto_2,0.699,2.0
7EEL,ori_temp_pipeline_with_alphafold_models_2,0.013,0.0
7OI7,structure_temp_dimer_1,0.087,0.0
7EKQ,pdb_interact_uniref_a3m_4,0.019,0.0
7AMV,ori_template_pipeline_0,0.875,3.0
7OOP,structure_temp_dimer_a_0,0.123,0.0
7OZN,pdb_interact_uniprot_sto_4,0.022,0.0
7LXT,structure_temp_dimer_2,0.565,2.0
7F5B,string_interact_uniref_sto_4,0.008,0.0
7P3Z,structure_temp_dimer_a_0,0.043,0.0
7P3Z,uniprot_distance_uniprot_sto_2,0.034,0.0
